,Vasili,Berezutski,#Berezutsky,Russia,Centre Back,CSKA Moscow
,Sergey,Ignashevich,#Ignashevich,Russia,Centre Back,CSKA Moscow
@DmitryKombarov,Dmitri,Kombarov,#Kombarov,Russia,Left Midfield,Spartak Moscow
@RomanNeustadter,Roman ,Neustadter,#Neustadter,Russia,Centre Back,FC Schalke 04
,Georgi,Shchennikov,#Shchennikov,Russia,Left Back,CSKA Moscow
@shish49,Roman ,Shishkin ,#Shishkin ,Russia,Right Back,Lokomotiv Moscow
,Igor,Smolnikov,#Smolnikov,Russia,Right Back,Zenit St. Petersburg
,Igor,Denisov,#Denisov,Russia,Centre Midfield,Dynamo Moscow
@DGlushakov8,Denis,Glushakov,#Glushakov,Russia,Centre Midfield,Spartak Moscow
,Aleksandr,Golovin,#Golovin,Russia,Centre Midfield,CSKA Moscow
,Oleg,Ivanov,#Ivanov,Russia,Centre Midfield,Terek Grozny
@pavelmamaev17,Pavel,Mamaev ,#Mamaev ,Russia,Centre Midfield,Krasnodar
,Aleksandr,Samedov,#Samedov,Russia,Right Midfield,Lokomotiv Moscow
@OlegShatov,Oleg ,Shatov,#Shatov,Russia,Centre Midfield,Zenit St. Petersburg
@shirokovr15,Roman ,Shirokov,#Shirokov,Russia,Centre Midfield,CSKA Moscow
,Dmitri,Torbinski,#Torbinski,Russia,Left Midfield,Krasnodar
,Artyom,Dzyuba,#Dzyuba,Russia,Forward,Zenit St. Petersburg
@AKokorin9,Alexander,Kokorin,#Kokorin,Russia,Forward,Zenit St. Petersburg
@smolovfedor_90,Fyodor,Smolov,#Smolov,Russia,Forward,Krasnodar
,Vicente,del Bosque,#delBosque,Spain,Manager,
@CasillasWorld,Iker,Casillas,#Casillas,Spain,Goalkeeper,FC Porto
@D_DeGea,David,De Gea,#De Gea,Spain,Goalkeeper,Manchester United
@sergiorico25,Sergio,Rico,#Rico,Spain,Goalkeeper,Sevilla
@SergioRamos,Sergio,Ramos,#Ramos,Spain,Centre Back,Real Madrid
@3gerardpique,Gerard,Pique,#Pique,Spain,Centre Back,FC Barcelona
@DaniCarvajal92,Dani,Carvajal,#Carvajal,Spain,Centre Back,Real Madrid
@JordiAlba,Jordi,Alba,#Alba,Spain,Right Back,FC Barcelona
@MarcBartra,Marc,Bartra,#Bartra,Spain,Centre Back,FC Barcelona
@CesarAzpi,Cesar,Azpilicueta,#Azpilicueta,Spain,Right Back,Chelsea
@mikelsanjo6,Mikel,San Jose,#San Jose,Spain,Centre Midfield,Athletic Bilbao
@Juanfrantorres,,Juanfran,#Juanfran,Spain,Right Back,Atletico Madrid
@HectorBellerin,Hector,Bellerin,#Bellerin,Spain,Right Back,Arsenal
,Bruno,Soriano,#Bruno,Spain,Centre Midfield,Villarreal
,Sergio,Busquets,#Busquets,Spain,Centre Midfield,FC Barcelona
@Koke6,,Koke,#Koke,Spain,Centre Midfield,Atletico Madrid
@Thiago6,Thiago,Alcântara,#Alcântara,Spain,Centre Midfield,Bayern Munich
@andresiniesta8,Andres,Iniesta,#Iniesta,Spain,Centre Midfield,FC Barcelona
@21LVA,David ,Silva,#Silva,Spain,Centre Midfield,Manchester City
@_Pedro17_,,Pedro,#Pedro,Spain,Right Midfield,Chelsea
@AritzAduriz11,Aritz,Aduriz,#Aduriz,Spain,Forward,Athletic Bilbao
@ApoyoNolito,,Nolito,#Nolito,Spain,Forward,Celta Vigo
@AlvaroMorata,Alvaro,Morata,#Morata,Spain,Forward,Juventus
,Lucas,Vasquez,#Vasquez,Spain,Forward,Real Madrid
,Erik,Hamrén,#Hamrén,Sweden,Manager,
,Andreas,Isaksson,#Isaksson,Sweden,Goalkeeper,Kasimpasa
@RobinOlsen25,Robin,Olsen,#Olsen,Sweden,Goalkeeper,FC Copenhagen
,Patrik ,Carlgren,#Carlgren,Sweden,Goalkeeper,AIK
@L3Augustinsson,Ludwig,Augustinsson,#Augustinsson,Sweden,Left Back,FC Copenhagen
,Erik,Johansson,#Johansson,Sweden,Centre Back,FC Copenhagen
@PJansson5,Pontus ,Jansson,#Jansson,Sweden,Centre Back,Torino
@vlindelof,Victor,Lindelof,#Lindelof,Sweden,Centre Back,Benfica
,Andreas,Granqvist,#Granqvist,Sweden,Centre Back,Krasnodar
,Mikael ,Lustig,#Lustig,Sweden,Right Back,Celtic
@martinolsson3,Martin,Olsson,#Olsson,Sweden,Left Back,Norwich City
