@LucasDigne,Lucas,Digne,#Digne,France,Left Back,AS Roma
@PatriceEvraGMF,Patrice,Evra,#Evra,France,Left Back,Juventus
@Jalletofficial,Christophe,Jallet,#Jallet,France,Right Back,Paris Saint Germain
@6_LKOSCIELNY,Laurent,Koscielny,#Koscielny,France,Center Back,Arsenal
@Elia22Mangala,Eliaquim,Mangala,#Mangala,France,Center Back,Manchester City
@Sagnaofficial,Bacary,Sagna,#Sagna,France,Right Back,Manchester City
@UmtitiSam,Samuel,Umtiti,#Umtiti,France,Center Back,Lyon
,Adil,Rami,#Rami,France,Center Back,Sevilla
@YCabayeofficiel,Yohan,Cabaye,#Cabaye,France,Center Midfield,Crytal Palace
@NgoloKante17,N'Golo,Kante,#Kante,France,Center Midfield,Leicester City
@SchneiderlinMo4,Morgan,Schneiderlin ,#Schneiderlin ,France,Center Midfield,Manchester United
@MATUIDIBlaise,Blaise,Matuidi,#Matuidi,France,Center Midfield,Paris Saint Germain
@paulpogba,Paul,Pogba,#Pogba,France,Center Midfield,Juventus
@MoussaSissoko,Moussa,Sissoko,#Sissoko,France,Left Midfield,Newcastle
@kingsleeeeyy,Kingsley,Coman,#Coman,France,Right Midfield,Juventus
@10APG,Andre-Pierre,Gignac,#Gignac,France,Forward,Tigres UANL
@_OlivierGiroud_,Olivier,Giroud,#Giroud,France,Forward,Arsenal
@AntoGriezmann,Antoine,Griezmann,#Griezmann,France,Forward,Atletico Madrid
@AnthonyMartial,Anthony,Martial,#Martial,France,Left Midfield,Manchester United
@dimpayet17,Dimitri,Payet,#Payet,France,Right Midfield,West Ham United
,Joachim,Low,#LÌ_w,Germany,Manager,
@Manuel_Neuer,Manuel,Neuer,#Neuer,Germany,Goalkeeper,Bayern Munich
@Bernd_Leno,Bernd,Leno,#Leno,Germany,Goalkeeper,Bayer 04 Leverkusen
@mterstegen1,Marc-AndrÌ©,ter-Stegen,#ter-Stegen,Germany,Goalkeeper,FC Barcelona
@JB17Official,Jerome,Boateng,#Boateng,Germany,Center Back,Bayern Munich
@ecofficial23,Emre,Can,#Can,Germany,Center Midfield,Liverpool
,Jonas,Hector,#Hector,Germany,Left Back,FC KÌ_ln
